CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
E3401Q,E3401Q055,[L2] Corso di Laurea - L2,49,1,0.02,26
E3002Q,E3002Q006,[L2] Corso di Laurea - L2,77,6,0.08,28.33
I0301D,I0301D001,[L2] Corso di Laurea - L2,70,10,0.14,21.5
E3401Q,E3401Q038,[L2] Corso di Laurea - L2,81,12,0.15,22.58
F1601M,F1601M055,[LM] Corso di Laurea Magistrale,78,12,0.15,26
I0302D,I0302D001,[L2] Corso di Laurea - L2,67,10,0.15,21
E4102B,E4102B002,[L2] Corso di Laurea - L2,144,25,0.17,23.84
E3101Q,E3101Q101,[L2] Corso di Laurea - L2,405,74,0.18,20.86
E3101Q,E3101Q104,[L2] Corso di Laurea - L2,555,105,0.19,21.6
I0302D,I0302D003,[L2] Corso di Laurea - L2,83,16,0.19,22.44
E3002Q,E3002Q032,[L2] Corso di Laurea - L2,127,25,0.2,23.28
E3201Q,E3201Q001,[L2] Corso di Laurea - L2,123,25,0.2,23.16
E3501Q,E3501Q003,[L2] Corso di Laurea - L2,117,23,0.2,25.22
F1601M,F1601M063,[LM] Corso di Laurea Magistrale,40,8,0.2,27
F7601M,F7601M051,[LM] Corso di Laurea Magistrale,56,11,0.2,26.55
F7501Q,F7501Q004,[LM] Corso di Laurea Magistrale,76,16,0.21,28.94
E3002Q,E3002Q033,[L2] Corso di Laurea - L2,116,25,0.22,25.52
E4101B,E4101B002,[L2] Corso di Laurea - L2,204,45,0.22,22.96
E4102B,E4102B067,[L2] Corso di Laurea - L2,214,47,0.22,25.89
E2001R,E2001R059,[L2] Corso di Laurea - L2,52,12,0.23,26.67
E3401Q,E3401Q051,[L2] Corso di Laurea - L2,96,23,0.24,25.52
E1601N,E1601N020,[L2] Corso di Laurea - L2,344,87,0.25,20.98
E3401Q,E3401Q036,[L2] Corso di Laurea - L2,92,23,0.25,26.87
E4102B,E4102B005,[L2] Corso di Laurea - L2,264,65,0.25,22.91
E1803M,E1803M047,[L2] Corso di Laurea - L2,552,143,0.26,23.56
E3002Q,E3002Q034,[L2] Corso di Laurea - L2,35,9,0.26,23.11
E3201Q,E3201Q073,[L2] Corso di Laurea - L2,42,11,0.26,26.73
H4601D,H4601D016,[LM6] Laurea Magistrale Ciclo Unico 6 anni,66,17,0.26,28.35
E2701Q,E2701Q036,[L2] Corso di Laurea - L2,100,27,0.27,26.41
E4101B,E4101B001,[L2] Corso di Laurea - L2,315,86,0.27,22.12
F8204B,F8204B002,[LM] Corso di Laurea Magistrale,63,17,0.27,25.94
I0101D,I0101D011,[L2] Corso di Laurea - L2,307,83,0.27,27.42
E3002Q,E3002Q011,[L2] Corso di Laurea - L2,57,16,0.28,24.13
E3401Q,E3401Q004,[L2] Corso di Laurea - L2,171,48,0.28,24.35
I0301D,I0301D003,[L2] Corso di Laurea - L2,75,21,0.28,20.86
I0303D,I0303D001,[L2] Corso di Laurea - L2,53,15,0.28,23.93
E3301M,E3301M131,[L2] Corso di Laurea - L2,299,87,0.29,21.74
E4001N,E4001N015,[L2] Corso di Laurea - L2,257,74,0.29,25.93
I0101D,I0101D004,[L2] Corso di Laurea - L2,437,130,0.3,21.18
E2702Q,E2702Q089,[L2] Corso di Laurea - L2,121,38,0.31,26.74
E2701Q,E2701Q046,[L2] Corso di Laurea - L2,31,10,0.32,25.9
E3401Q,E3401Q001,[L2] Corso di Laurea - L2,188,61,0.32,22.67
E3901N,E3901N028,[L2] Corso di Laurea - L2,192,61,0.32,23.74
E4101B,E4101B003,[L2] Corso di Laurea - L2,182,58,0.32,25.93
E1803M,E1803M037,[L2] Corso di Laurea - L2,147,49,0.33,22.9
E3201Q,E3201Q092,[L2] Corso di Laurea - L2,69,23,0.33,26.09
F9201P,F9201P200,[LM] Corso di Laurea Magistrale,51,17,0.33,28.29
E2701Q,E2701Q045,[L2] Corso di Laurea - L2,47,16,0.34,26.75
E3001Q,E3001Q055,[L2] Corso di Laurea - L2,38,13,0.34,23.08
E3201Q,E3201Q067,[L2] Corso di Laurea - L2,111,38,0.34,22.45
E3401Q,E3401Q013,[L2] Corso di Laurea - L2,156,53,0.34,23.09
F1601M,F1601M056,[LM] Corso di Laurea Magistrale,93,32,0.34,24.22
G8501R,G8501R012,[LM5] Laurea Magistrale Ciclo Unico 5 anni,457,155,0.34,24.5
E1801M,E1801M039,[L2] Corso di Laurea - L2,330,117,0.35,23.39
E2701Q,E2701Q037,[L2] Corso di Laurea - L2,37,13,0.35,27.08
E3002Q,E3002Q028,[L2] Corso di Laurea - L2,85,30,0.35,26.57
E1801M,E1801M032,[L2] Corso di Laurea - L2,408,145,0.36,22.06
E3201Q,E3201Q106,[L2] Corso di Laurea - L2,73,26,0.36,25.31
E4102B,E4102B001,[L2] Corso di Laurea - L2,125,45,0.36,24.11
E3501Q,E3501Q023,[L2] Corso di Laurea - L2,70,26,0.37,26.27
F7601M,F7601M052,[LM] Corso di Laurea Magistrale,92,34,0.37,26
F7702M,F7702M057,[LM] Corso di Laurea Magistrale,230,86,0.37,21.7
I0302D,I0302D009,[L2] Corso di Laurea - L2,54,20,0.37,25
E1401A,E1401A078,[L2] Corso di Laurea - L2,359,135,0.38,23.33
E1802M,E1802M007,[L2] Corso di Laurea - L2,496,189,0.38,24.31
E1802M,E1802M033,[L2] Corso di Laurea - L2,183,70,0.38,25.24
E1803M,E1803M041,[L2] Corso di Laurea - L2,317,121,0.38,24.79
E2701Q,E2701Q034,[L2] Corso di Laurea - L2,132,50,0.38,25.4
E3401Q,E3401Q002,[L2] Corso di Laurea - L2,93,35,0.38,25.03
E4001N,E4001N047,[L2] Corso di Laurea - L2,314,118,0.38,26.89
F0601Q,F0601Q073,[LM] Corso di Laurea Magistrale,65,25,0.38,28.56
F7601M,F7601M075,[LM] Corso di Laurea Magistrale,42,16,0.38,25.31
H4101D,H4101D253,[LM6] Laurea Magistrale Ciclo Unico 6 anni,297,113,0.38,26.81
E1301Q,E1301Q011,[L2] Corso di Laurea - L2,190,75,0.39,24.41
E1803M,E1803M058,[L2] Corso di Laurea - L2,95,37,0.39,25.16
E3002Q,E3002Q030,[L2] Corso di Laurea - L2,49,19,0.39,26.16
E3401Q,E3401Q039,[L2] Corso di Laurea - L2,151,59,0.39,25.86
E3901N,E3901N003,[L2] Corso di Laurea - L2,179,69,0.39,22.03
E4101B,E4101B006,[L2] Corso di Laurea - L2,142,56,0.39,25.64
I0302D,I0302D002,[L2] Corso di Laurea - L2,61,24,0.39,22.42
E1401A,E1401A015,[L2] Corso di Laurea - L2,231,93,0.4,22.58
E1501N,E1501N054,[L2] Corso di Laurea - L2,58,23,0.4,26.3
E2004P,E2004P008,[L2] Corso di Laurea - L2,135,54,0.4,26.15
E2701Q,E2701Q002,[L2] Corso di Laurea - L2,60,24,0.4,24.96
E3301M,E3301M192,[L2] Corso di Laurea - L2,289,115,0.4,23.97
E4102B,E4102B004,[L2] Corso di Laurea - L2,77,31,0.4,
E1802M,E1802M119,[L2] Corso di Laurea - L2,166,68,0.41,23.9
E3401Q,E3401Q044,[L2] Corso di Laurea - L2,75,31,0.41,26.23
E4101B,E4101B023,[L2] Corso di Laurea - L2,131,54,0.41,23.8
581,A5810031,[LM5] Laurea Magistrale Ciclo Unico 5 anni,72,30,0.42,25.23
E1301Q,E1301Q072,[L2] Corso di Laurea - L2,97,41,0.42,28.22
E1803M,E1803M048,[L2] Corso di Laurea - L2,142,60,0.42,24.42
E3201Q,E3201Q076,[L2] Corso di Laurea - L2,76,32,0.42,26.97
I0302D,I0302D005,[L2] Corso di Laurea - L2,31,13,0.42,25.85
E1401A,E1401A005,[L2] Corso di Laurea - L2,306,133,0.43,23.39
E2702Q,E2702Q082,[L2] Corso di Laurea - L2,150,64,0.43,25.16
E3001Q,E3001Q038,[L2] Corso di Laurea - L2,270,115,0.43,23.49
E3001Q,E3001Q054,[L2] Corso di Laurea - L2,68,29,0.43,23.1
E4102B,E4102B009,[L2] Corso di Laurea - L2,72,31,0.43,24.06
F0802Q,F0802Q050,[LM] Corso di Laurea Magistrale,56,24,0.43,29
F7702M,F5102P017,[LM] Corso di Laurea Magistrale,114,49,0.43,26.55
E3001Q,E3001Q046,[L2] Corso di Laurea - L2,126,56,0.44,26.71
E3101Q,E3101Q129,[L2] Corso di Laurea - L2,80,35,0.44,21.91
F7601M,F7601M058,[LM] Corso di Laurea Magistrale,36,16,0.44,28.5
F9201P,F9201P009,[LM] Corso di Laurea Magistrale,52,23,0.44,24.57
I0301D,I0301D002,[L2] Corso di Laurea - L2,59,26,0.44,22
E1301Q,E1301Q007,[L2] Corso di Laurea - L2,187,85,0.45,25.58
E1401A,E1401A085,[L2] Corso di Laurea - L2,139,63,0.45,24.87
E2004P,E2004P013,[L2] Corso di Laurea - L2,99,45,0.45,26.02
E2401P,E2401P007,[L2] Corso di Laurea - L2,538,244,0.45,26.2
H4101D,H4101D040,[LM6] Laurea Magistrale Ciclo Unico 6 anni,257,116,0.45,27.22
I0101D,I0101D001,[L2] Corso di Laurea - L2,579,258,0.45,23.63
I0302D,LING,[L2] Corso di Laurea - L2,42,19,0.45,
581,A5810042,[LM5] Laurea Magistrale Ciclo Unico 5 anni,83,38,0.46,27
E2701Q,E2701Q001,[L2] Corso di Laurea - L2,83,38,0.46,25.61
E2702Q,E2702Q009,[L2] Corso di Laurea - L2,134,61,0.46,27.46
E3101Q,E3101Q103,[L2] Corso di Laurea - L2,507,233,0.46,26.03
E3301M,E3301M128,[L2] Corso di Laurea - L2,414,190,0.46,23.74
E3501Q,E3501Q064,[L2] Corso di Laurea - L2,39,18,0.46,25.78
F5102P,F5102P017,[LM] Corso di Laurea Magistrale,96,44,0.46,27.32
F8204B,F8204B005,[LM] Corso di Laurea Magistrale,57,26,0.46,25.31
H4101D,H4101D021,[LM6] Laurea Magistrale Ciclo Unico 6 anni,215,98,0.46,26.78
H4101D,H4101D039,[LM6] Laurea Magistrale Ciclo Unico 6 anni,291,135,0.46,27.62
I0303D,I0303D003,[L2] Corso di Laurea - L2,52,24,0.46,24.63
581,A5810018,[LM5] Laurea Magistrale Ciclo Unico 5 anni,251,119,0.47,27.03
581,A5810070,[LM5] Laurea Magistrale Ciclo Unico 5 anni,68,32,0.47,26.88
E3001Q,E3001Q040,[L2] Corso di Laurea - L2,184,87,0.47,25.43
E3101Q,E3101Q122,[L2] Corso di Laurea - L2,85,40,0.47,27.78
E3201Q,E3201Q040,[L2] Corso di Laurea - L2,78,37,0.47,24.14
E3501Q,E3501Q004,[L2] Corso di Laurea - L2,81,38,0.47,25.89
E4102B,E4102B006,[L2] Corso di Laurea - L2,93,44,0.47,24.73
F0601Q,F0601Q077,[LM] Corso di Laurea Magistrale,90,42,0.47,27.07
F7701M,F7701M080,[LM] Corso di Laurea Magistrale,290,137,0.47,26.21
E1301Q,E0201Q065,[L2] Corso di Laurea - L2,99,48,0.48,24.33
E1803M,E1803M051,[L2] Corso di Laurea - L2,275,132,0.48,24.74
E1901R,E1901R037,[L2] Corso di Laurea - L2,64,31,0.48,26.61
E2702Q,E2702Q092,[L2] Corso di Laurea - L2,84,40,0.48,26.13
E3001Q,E3001Q042,[L2] Corso di Laurea - L2,191,92,0.48,27.84
E3201Q,E3201Q091,[L2] Corso di Laurea - L2,60,29,0.48,24.59
E4102B,E4102B081,[L2] Corso di Laurea - L2,64,31,0.48,25.55
I0102D,I0102D013,[L2] Corso di Laurea - L2,33,16,0.48,26.69
581,A5810011,[LM5] Laurea Magistrale Ciclo Unico 5 anni,197,97,0.49,27.23
E0201Q,E0201Q059,[L2] Corso di Laurea - L2,148,73,0.49,23.41
E1301Q,E1301Q068,[L2] Corso di Laurea - L2,57,28,0.49,26.29
E3101Q,E3101Q131,[L2] Corso di Laurea - L2,59,29,0.49,28.14
E3501Q,E3501Q051,[L2] Corso di Laurea - L2,103,50,0.49,25.44
E4101B,E4101B014,[L2] Corso di Laurea - L2,109,53,0.49,25.98
E4101B,E4101B020,[L2] Corso di Laurea - L2,99,49,0.49,23.73
F5401Q,F5401Q027,[LM] Corso di Laurea Magistrale,45,22,0.49,27.91
F7702M,F7702M044,[LM] Corso di Laurea Magistrale,194,96,0.49,25.34
H4601D,H4601D001,[LM6] Laurea Magistrale Ciclo Unico 6 anni,47,23,0.49,24.7
581,A5810019,[LM5] Laurea Magistrale Ciclo Unico 5 anni,517,258,0.5,25.19
E1601N,E1601N049,[L2] Corso di Laurea - L2,190,95,0.5,23.92
E1803M,E1803M060,[L2] Corso di Laurea - L2,92,46,0.5,25.04
E2401P,E2401P109,[L2] Corso di Laurea - L2,56,28,0.5,26.14
E3101Q,E3101Q100,[L2] Corso di Laurea - L2,304,151,0.5,20.65
E3301M,E3301M159,[L2] Corso di Laurea - L2,107,53,0.5,22.34
E4001N,E4001N050,[L2] Corso di Laurea - L2,138,69,0.5,24.51
F0802Q,F0802Q059,[LM] Corso di Laurea Magistrale,36,18,0.5,27.33
F5301Q,F5301Q024,[LM] Corso di Laurea Magistrale,36,18,0.5,28.11
I0101D,I0101D009,[L2] Corso di Laurea - L2,417,209,0.5,23.92
I0102D,I0102D004,[L2] Corso di Laurea - L2,46,23,0.5,24.91
581,A5810017,[LM5] Laurea Magistrale Ciclo Unico 5 anni,352,178,0.51,26.6
581,A5810130,[LM5] Laurea Magistrale Ciclo Unico 5 anni,247,125,0.51,25.1
E1401A,E1401A040,[L2] Corso di Laurea - L2,39,20,0.51,24.85
E1601N,E1601N002,[L2] Corso di Laurea - L2,259,133,0.51,24.05
E1802M,E3301M148,[L2] Corso di Laurea - L2,94,48,0.51,24.73
E2004P,E2004P004,[L2] Corso di Laurea - L2,191,98,0.51,25.71
E2004P,E2004P044,[L2] Corso di Laurea - L2,172,87,0.51,26.16
E2701Q,E2701Q013,[L2] Corso di Laurea - L2,39,20,0.51,26.95
E3201Q,E3201Q069,[L2] Corso di Laurea - L2,112,57,0.51,25.75
E4101B,E4101B004,[L2] Corso di Laurea - L2,75,38,0.51,
E4101B,E4101B005,[L2] Corso di Laurea - L2,210,107,0.51,24.23
F4901N,F4901N009,[LM] Corso di Laurea Magistrale,86,44,0.51,27.2
I0101D,LING,[L2] Corso di Laurea - L2,376,193,0.51,
I0201D,I0201D100,[L2] Corso di Laurea - L2,109,56,0.51,24.88
581,A5810012,[LM5] Laurea Magistrale Ciclo Unico 5 anni,248,130,0.52,26.9
581,A5810135,[LM5] Laurea Magistrale Ciclo Unico 5 anni,61,32,0.52,27.84
E2001R,E2001R004,[L2] Corso di Laurea - L2,263,136,0.52,23.57
E3001Q,E3001Q057,[L2] Corso di Laurea - L2,105,55,0.52,26.27
E3301M,E3301M182,[L2] Corso di Laurea - L2,121,63,0.52,25.19
E3401Q,E3401Q052,[L2] Corso di Laurea - L2,33,17,0.52,26
F0802Q,F0802Q051,[LM] Corso di Laurea Magistrale,86,45,0.52,27.93
F0901D,F0901D029,[LM] Corso di Laurea Magistrale,48,25,0.52,29.2
F5102P,F5102P005,[LM] Corso di Laurea Magistrale,129,67,0.52,28.58
F7702M,F7702M002,[LM] Corso di Laurea Magistrale,180,94,0.52,
F8203B,F8203B030,[LM] Corso di Laurea Magistrale,33,17,0.52,28.53
I0201D,I0201D121,[L2] Corso di Laurea - L2,101,53,0.52,24.58
581,A5810046,[LM5] Laurea Magistrale Ciclo Unico 5 anni,94,50,0.53,27.86
581,A5810056,[LM5] Laurea Magistrale Ciclo Unico 5 anni,66,35,0.53,27.6
E0201Q,E0201Q001,[L2] Corso di Laurea - L2,268,141,0.53,24.54
E1601N,E1601N009,[L2] Corso di Laurea - L2,162,86,0.53,24.77
E1802M,E1802M117,[L2] Corso di Laurea - L2,231,123,0.53,26.41
E1802M,E3301M138,[L2] Corso di Laurea - L2,36,19,0.53,25.26
E1803M,E1803M049,[L2] Corso di Laurea - L2,302,159,0.53,26.19
E3001Q,E3001Q003,[L2] Corso di Laurea - L2,292,154,0.53,25.17
E3001Q,E3001Q043,[L2] Corso di Laurea - L2,233,124,0.53,26.63
E3201Q,E3201Q074,[L2] Corso di Laurea - L2,88,47,0.53,26.36
F0802Q,F0802Q039,[LM] Corso di Laurea Magistrale,47,25,0.53,27.08
F1601M,F1601M042,[LM] Corso di Laurea Magistrale,106,56,0.53,
F5103P,F5103P072,[LM] Corso di Laurea Magistrale,152,81,0.53,26.11
F5104P,F5104P010,[LM] Corso di Laurea Magistrale,55,29,0.53,27.31
I0101D,I0101D006,[L2] Corso di Laurea - L2,337,177,0.53,25.2
I0302D,I0302D011,[L2] Corso di Laurea - L2,47,25,0.53,24.2
581,A5810228,[LM5] Laurea Magistrale Ciclo Unico 5 anni,431,231,0.54,26.48
E1803M,E1803M101,[L2] Corso di Laurea - L2,288,155,0.54,25.79
E3501Q,E3501Q062,[L2] Corso di Laurea - L2,41,22,0.54,25.32
E4001N,E4001N059,[L2] Corso di Laurea - L2,46,25,0.54,24.8
E4101B,E4101B008,[L2] Corso di Laurea - L2,165,89,0.54,23.82
G8501R,G8501R004,[LM5] Laurea Magistrale Ciclo Unico 5 anni,347,186,0.54,23.93
G8501R,G8501R037,[LM5] Laurea Magistrale Ciclo Unico 5 anni,459,248,0.54,27.08
I0101D,I0101D012,[L2] Corso di Laurea - L2,304,163,0.54,25.45
K0101D,K0101D014,[LM] Corso di Laurea Magistrale,39,21,0.54,
581,A5810006,[LM5] Laurea Magistrale Ciclo Unico 5 anni,304,168,0.55,26.68
581,A5810014,[LM5] Laurea Magistrale Ciclo Unico 5 anni,332,183,0.55,25.71
E1601N,E1601N003,[L2] Corso di Laurea - L2,256,142,0.55,24.09
E1802M,E1802M126,[L2] Corso di Laurea - L2,31,17,0.55,27.18
E2701Q,E2701Q035,[L2] Corso di Laurea - L2,74,41,0.55,23.61
E2702Q,E2702Q045,[L2] Corso di Laurea - L2,73,40,0.55,28.33
E3002Q,E3002Q008,[L2] Corso di Laurea - L2,56,31,0.55,25.35
E3401Q,E3401Q017,[L2] Corso di Laurea - L2,55,30,0.55,27.27
E3501Q,E3501Q065,[L2] Corso di Laurea - L2,78,43,0.55,26.12
E4101B,E4101B013,[L2] Corso di Laurea - L2,91,50,0.55,26.6
E4101B,E4101B038,[L2] Corso di Laurea - L2,77,42,0.55,25.33
G8501R,G8501R005,[LM5] Laurea Magistrale Ciclo Unico 5 anni,359,196,0.55,27.83
581,A5810015,[LM5] Laurea Magistrale Ciclo Unico 5 anni,374,208,0.56,26.26
581,A5810227,[LM5] Laurea Magistrale Ciclo Unico 5 anni,520,291,0.56,25.3
E1301Q,E1301Q009,[L2] Corso di Laurea - L2,325,183,0.56,26.42
E1301Q,E1301Q059,[L2] Corso di Laurea - L2,52,29,0.56,26.66
E1501N,E1501N001,[L2] Corso di Laurea - L2,203,113,0.56,24.4
E1801M,E1801M048,[L2] Corso di Laurea - L2,266,148,0.56,23.8
E2401P,E2401P001,[L2] Corso di Laurea - L2,624,351,0.56,24.82
E3501Q,E3501Q010,[L2] Corso di Laurea - L2,39,22,0.56,26.36
F0901D,F0901D034,[LM] Corso di Laurea Magistrale,48,27,0.56,27.85
F0901D,F0901D039,[LM] Corso di Laurea Magistrale,39,22,0.56,27.18
F5102P,F5102P003,[LM] Corso di Laurea Magistrale,80,45,0.56,26.44
F5102P,F5102P014,[LM] Corso di Laurea Magistrale,32,18,0.56,29.06
F7601M,F7601M050,[LM] Corso di Laurea Magistrale,61,34,0.56,25.18
F8203B,F8203B006,[LM] Corso di Laurea Magistrale,34,19,0.56,27.32
F8501R,F8501R001,[LM] Corso di Laurea Magistrale,261,146,0.56,27.71
I0302D,I0302D008,[L2] Corso di Laurea - L2,43,24,0.56,25.5
E1401A,E1401A007,[L2] Corso di Laurea - L2,121,69,0.57,25.12
E1501N,E1501N065,[L2] Corso di Laurea - L2,179,102,0.57,24.81
E1801M,E1801M033,[L2] Corso di Laurea - L2,276,157,0.57,24.57
E1801M,E1801M052,[L2] Corso di Laurea - L2,239,136,0.57,25.53
E1803M,E1803M050,[L2] Corso di Laurea - L2,264,150,0.57,23.64
E1901R,E1901R004,[L2] Corso di Laurea - L2,463,265,0.57,26.97
E2701Q,E2701Q044,[L2] Corso di Laurea - L2,44,25,0.57,26.48
E3001Q,E3001Q036,[L2] Corso di Laurea - L2,247,141,0.57,26.32
E3002Q,E3002Q002,[L2] Corso di Laurea - L2,70,40,0.57,24.33
E3301M,E3301M097,[L2] Corso di Laurea - L2,397,226,0.57,24.66
E4001N,E4001N009,[L2] Corso di Laurea - L2,309,177,0.57,22.58
E4001N,E4001N053,[L2] Corso di Laurea - L2,214,121,0.57,24.92
F0601Q,F0601Q067,[LM] Corso di Laurea Magistrale,60,34,0.57,29.09
F1801Q,F1801Q132,[LM] Corso di Laurea Magistrale,137,78,0.57,27.01
F5104P,F5104P005,[LM] Corso di Laurea Magistrale,214,123,0.57,26.86
G8501R,G8501R036,[LM5] Laurea Magistrale Ciclo Unico 5 anni,336,191,0.57,25.18
H4101D,H4101D013,[LM6] Laurea Magistrale Ciclo Unico 6 anni,207,118,0.57,28.58
I0101D,I0101D016,[L2] Corso di Laurea - L2,351,199,0.57,25.41
581,A5810229,[LM5] Laurea Magistrale Ciclo Unico 5 anni,387,225,0.58,25.97
E0201Q,E0201Q053,[L2] Corso di Laurea - L2,142,83,0.58,23.72
E1301Q,E1301Q010,[L2] Corso di Laurea - L2,198,115,0.58,26.24
E1401A,E1401A019,[L2] Corso di Laurea - L2,33,19,0.58,25.47
E1801M,E1801M028,[L2] Corso di Laurea - L2,419,242,0.58,24.49
E1801M,E1801M030,[L2] Corso di Laurea - L2,254,148,0.58,25.16
E2401P,E2401P118,[L2] Corso di Laurea - L2,96,56,0.58,27.79
E3101Q,E3101Q110,[L2] Corso di Laurea - L2,364,211,0.58,24.09
E3301M,E3301M111,[L2] Corso di Laurea - L2,227,132,0.58,26.79
E3301M,E3301M148,[L2] Corso di Laurea - L2,125,73,0.58,25.19
E4101B,E4101B040,[L2] Corso di Laurea - L2,103,60,0.58,27.52
F0101R,F0101R002,[LM] Corso di Laurea Magistrale,65,38,0.58,27.71
F0901D,F0901D046,[LM] Corso di Laurea Magistrale,48,28,0.58,27
F1801Q,F1801Q134,[LM] Corso di Laurea Magistrale,106,62,0.58,29.21
F5104P,F5104P003,[LM] Corso di Laurea Magistrale,296,172,0.58,26.34
F5701R,F5701R009,[LM] Corso di Laurea Magistrale,179,104,0.58,26.83
I0101D,I0101D015,[L2] Corso di Laurea - L2,332,193,0.58,22.95
I0102D,I0102D001,[L2] Corso di Laurea - L2,50,29,0.58,25.76
I0202D,I0202D101,[L2] Corso di Laurea - L2,50,29,0.58,20.93
581,A5810093,[LM5] Laurea Magistrale Ciclo Unico 5 anni,51,30,0.59,28.6
E1301Q,E1301Q055,[L2] Corso di Laurea - L2,140,82,0.59,26.99
E1301Q,E1301Q067,[L2] Corso di Laurea - L2,100,59,0.59,26.39
E1401A,E1401A074,[L2] Corso di Laurea - L2,314,185,0.59,26.78
